8.093 7 IMU_MAG_RAW 259 -631 416
8.093 7 WP_MOVED_ENU 6 760 1031 2560
8.149 7 ROTORCRAFT_FP -486 1134 -453558720 -36700 0 -1077729792 -12836 994 10813 0 0 0 0 0 0
8.150 7 IMU_MAG_RAW 258 -634 416
8.150 7 IMU_MAG_RAW 259 -636 415
8.150 7 IMU_MAG_RAW 260 -632 413
8.150 7 IMU_MAG_RAW 261 -633 414
8.151 7 IMU_MAG_RAW 258 -630 410
8.151 5 IMU_MAG_RAW 0 0 0
8.151 5 CIRCLE -9.597656 4.289062 5.
8.151 7 IMU_MAG_RAW 263 -628 414
8.151 7 IMU_MAG_RAW 263 -628 414
8.165 7 IMU_MAG_RAW 266 -630 414
8.165 7 IMU_MAG_RAW 265 -631 415
8.165 7 IMU_MAG_RAW 259 -629 412
8.181 7 IMU_MAG_RAW 263 -630 410
8.197 7 IMU_MAG_RAW 260 -632 415
8.197 7 IMU_MAG_RAW 258 -637 415
8.247 5 GPS_INT 485069025 -31588760 411660886 404501651 -37259657 706731 656495 123 154 -87 470 89 466371250 161 13 3 1
8.248 5 SVINFO 22 83 4 4 15 26 286
8.248 7 IMU_MAG_RAW 261 -626 414
8.248 7 IMU_MAG_RAW 265 -633 419
8.248 5 LIDAR 0. 144 1
8.249 7 IMU_MAG_RAW 257 -638 410
8.249 5 INS 442 -1738 90821488 -734002 844102 277500640 -6550 754 -3716
8.350 7 IMU_MAG_RAW 261 -629 410
8.350 5 ALIVE 53,218,81,70,62,199,115,110,109,98,53,234,26,129,160,165
8.351 7 GPS_INT 485068862 -31588393 411661260 404502016 -37259239 707733 657497 4 -4 2 569 68 466371250 260 7 3 1
8.352 7 IMU_MAG_RAW 261 -629 410
8.352 5 ROTORCRAFT_FP -1738 442 -90828248 844102 -734002 -277314144 -12571 270 8540 0 0 0 0 1356 0
8.353 7 IMU_MAG_RAW 255 -633 415
8.353 7 IMU_MAG_RAW 257 -636 415
8.353 7 INS 1131 -476 453663872 -10485 -20971 1077842944 -2 -3 1091
8.353 7 IMU_MAG_RAW 263 -632 414
8.354 7 IMU_MAG_RAW 264 -632 410
8.354 7 IMU_MAG_RAW 261 -625 416
8.354 5 WP_MOVED_ENU 10 10160 10329 2560
8.354 7 IMU_MAG_RAW 263 -631 418
8.354 7 IMU_MAG_RAW 260 -634 414
8.420 7 ROTORCRAFT_FP -476 1131 -453690144 -20971 -10485 -1077871616 -12836 994 10807 0 0 0 0 0 0
8.421 7 IMU_MAG_RAW 261 -631 416
8.421 7 IMU_MAG_RAW 264 -637 421
8.421 7 IMU_MAG_RAW 263 -627 421
8.421 7 IMU_MAG_RAW 263 -627 421
8.421 7 IMU_MAG_RAW 266 -627 418
8.421 5 CIRCLE -9.597656 4.289062 5.
8.422 7 IMU_MAG_RAW 259 -632 415
8.422 7 IMU_MAG_RAW 259 -633 415
8.422 7 STATE_FILTER_STATUS 6 3 0
8.422 7 IMU_MAG_RAW 263 -626 414
8.423 7 IMU_MAG_RAW 259 -630 413
8.423 7 IMU_MAG_RAW 261 -633 414
8.504 7 IMU_MAG_RAW 263 -634 410
8.505 5 UART_ERRORS 0 0 0 3
8.505 7 ROVER_STATUS 2 0 3 4 0 1813 7.709397
8.505 5 UART_ERRORS 0 0 0 4
8.505 7 IMU_MAG_RAW 260 -635 417
8.506 7 IMU_MAG_RAW 263 -633 417
8.506 5 GPS_INT 485069030 -31588717 411660863 404501633 -37259606 706598 656362 81 179 -41 470 72 466371500 161 13 3 1
8.506 7 IMU_MAG_RAW 260 -634 412
8.507 5 SVINFO 0 1 13 4 27 19 251
8.507 7 IMU_MAG_RAW 260 -634 412
